,app_name,count
0,PLAYERUNKNOWN'S BATTLEGROUNDS,96766
1,Grand Theft Auto V,94487
2,PAYDAY 2,62449
3,Terraria,53826
4,Tom Clancy's Rainbow Six Siege,50468
5,Garry's Mod,50161
6,Rust,41725
7,Dead by Daylight,36765
8,Rocket League,34743
9,The Witcher 3: Wild Hunt,32508
