,app_name,count
0,PLAYERUNKNOWN'S BATTLEGROUNDS,254005
1,Grand Theft Auto V,138830
2,Tom Clancy's Rainbow Six Siege,136098
3,Terraria,97255
4,The Witcher 3: Wild Hunt,89900
5,Rocket League,83278
6,Among Us,82822
7,Garry's Mod,78708
8,Phasmophobia,75838
9,Rust,64401
