,app_name,count
0,PLAYERUNKNOWN'S BATTLEGROUNDS,72400
1,Terraria,61547
2,Grand Theft Auto V,58348
3,Tom Clancy's Rainbow Six Siege,32071
4,Garry's Mod,31532
5,Rust,23213
6,The Witcher 3: Wild Hunt,22534
7,Rocket League,20011
8,Euro Truck Simulator 2,19980
9,Dead by Daylight,17246
