,app_name,count
0,PLAYERUNKNOWN'S BATTLEGROUNDS,174957
1,Grand Theft Auto V,99917
2,Tom Clancy's Rainbow Six Siege,81414
3,Terraria,73283
4,Garry's Mod,65925
5,Rust,52187
6,The Witcher 3: Wild Hunt,48047
7,Euro Truck Simulator 2,47159
8,Rocket League,43296
9,Among Us,38666
