,app_name,count
0,PLAYERUNKNOWN'S BATTLEGROUNDS,83311
1,Grand Theft Auto V,58793
2,Tom Clancy's Rainbow Six Siege,49823
3,Garry's Mod,35806
4,Rust,33748
5,Terraria,25574
6,The Witcher 3: Wild Hunt,20189
7,ARK: Survival Evolved,20043
8,Rocket League,19896
9,Dying Light,17330
