,app_name,count
0,PLAYERUNKNOWN'S BATTLEGROUNDS,134474
1,Among Us,113003
2,Phasmophobia,56047
3,Grand Theft Auto V,37718
4,PAYDAY 2,35553
5,Tom Clancy's Rainbow Six Siege,32835
6,Garry's Mod,28025
7,Terraria,26557
8,Rocket League,26199
9,Dead by Daylight,21236
