,app_name,count
0,PLAYERUNKNOWN'S BATTLEGROUNDS,80499
1,Grand Theft Auto V,60757
2,Tom Clancy's Rainbow Six Siege,35444
3,Garry's Mod,35157
4,Terraria,34186
5,Rocket League,26659
6,Rust,24837
7,ARK: Survival Evolved,22059
8,The Elder Scrolls V: Skyrim,20850
9,The Witcher 3: Wild Hunt,20301
