,app_name,count
0,PLAYERUNKNOWN'S BATTLEGROUNDS,89238
1,Tom Clancy's Rainbow Six Siege,63476
2,Grand Theft Auto V,53355
3,Garry's Mod,36788
4,Tomb Raider,28889
5,Rust,27989
6,Terraria,27031
7,PAYDAY 2,26140
8,DOOM Eternal,25749
9,ARK: Survival Evolved,24992
