,app_name,count
0,PLAYERUNKNOWN'S BATTLEGROUNDS,74554
1,Monster Hunter: World,40347
2,No Man's Sky,40320
3,Grand Theft Auto V,39855
4,Tom Clancy's Rainbow Six Siege,34023
5,Garry's Mod,32921
6,Dead by Daylight,25264
7,Terraria,25120
8,Rocket League,21753
9,PAYDAY 2,21599
