,app_name,count
0,PLAYERUNKNOWN'S BATTLEGROUNDS,124123
1,Grand Theft Auto V,80692
2,Tom Clancy's Rainbow Six Siege,66810
3,Rust,62408
4,Garry's Mod,55056
5,Terraria,49117
6,The Witcher 3: Wild Hunt,41262
7,Rocket League,32484
8,PAYDAY 2,32217
9,Euro Truck Simulator 2,31129
