,app_name,count
0,Among Us,123282
1,PLAYERUNKNOWN'S BATTLEGROUNDS,77415
2,Tom Clancy's Rainbow Six Siege,34006
3,Grand Theft Auto V,28471
4,Rocket League,27639
5,Dead by Daylight,25429
6,Garry's Mod,25342
7,Terraria,20410
8,ARK: Survival Evolved,19650
9,Crusader Kings III,17770
